epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7628,1.66503,3.26445,1.37755,0.00279,0.64444,0.30417,0.18536,1.28895,3.47026,0.9876,0.00027151,0.00027151,0.00027151
2,25.2542,1.55755,2.0411,1.42395,0.00238,0.63333,0.31417,0.10553,1.48571,3.62771,1.25973,0.000546275,0.000546275,0.000546275
3,29.0322,1.51129,1.70622,1.37649,0.00293,0.65556,0.30956,0.1471,1.59731,3.32769,1.29536,0.000809723,0.000809723,0.000809723
4,32.6536,1.507,1.59023,1.38549,0.73839,0.504,0.44285,0.23846,1.66544,2.59154,1.32784,0.00106185,0.00106185,0.00106185
5,36.3226,1.49035,1.53493,1.38329,0.65752,0.60209,0.63515,0.32482,1.61762,2.13766,1.37184,0.00130266,0.00130266,0.00130266
6,39.8277,1.4696,1.42584,1.3644,0.66568,0.47778,0.46809,0.29286,1.5358,1.9923,1.35893,0.00128753,0.00128753,0.00128753
7,43.3077,1.44834,1.39289,1.38443,0.47835,0.77546,0.62078,0.30151,1.71477,2.07605,1.51931,0.00125923,0.00125923,0.00125923
8,46.7522,1.38505,1.31092,1.32063,0.77442,0.56801,0.67966,0.29051,1.95775,1.52758,1.59859,0.00123094,0.00123094,0.00123094
9,50.3378,1.39637,1.25933,1.3507,0.79763,0.75892,0.79868,0.36761,2.05176,1.32845,1.75459,0.00120265,0.00120265,0.00120265
10,54.1593,1.50973,1.28421,1.39349,0.72917,0.73715,0.7447,0.35442,1.66453,1.2664,1.44178,0.00117435,0.00117435,0.00117435
11,57.7849,1.37856,1.21411,1.31561,0.70814,0.9788,0.82528,0.39716,1.56321,1.12599,1.37094,0.00114606,0.00114606,0.00114606
12,61.6429,1.35037,1.15604,1.31737,0.77939,0.90682,0.94944,0.41146,1.69021,1.09937,1.47354,0.00111776,0.00111776,0.00111776
13,65.3778,1.32789,1.0534,1.26938,0.4786,0.94444,0.83763,0.42577,1.74646,1.15384,1.4412,0.00108947,0.00108947,0.00108947
14,68.9664,1.33428,1.09152,1.29465,0.66321,0.97596,0.83965,0.32769,2.02283,1.18047,1.66915,0.00106118,0.00106118,0.00106118
15,72.4357,1.33464,1.08286,1.30558,0.63283,0.87604,0.8126,0.3689,1.81002,1.18949,1.58909,0.00103288,0.00103288,0.00103288
16,76.039,1.37017,1.05964,1.30248,0.89553,0.7665,0.86267,0.36368,1.78105,0.90395,1.54164,0.00100459,0.00100459,0.00100459
17,79.4848,1.32975,1.02211,1.28531,0.74763,0.93129,0.91437,0.39042,1.78009,0.92618,1.5553,0.000976293,0.000976293,0.000976293
18,82.9606,1.31055,0.98758,1.30247,0.63174,0.94444,0.88076,0.46489,1.72898,0.84841,1.44611,0.000947999,0.000947999,0.000947999
19,86.5843,1.31252,1.00769,1.26447,0.79589,0.69908,0.83737,0.45174,1.51432,0.89929,1.33865,0.000919704,0.000919704,0.000919704
20,90.3695,1.2465,0.92966,1.25611,0.62199,0.97704,0.83433,0.41632,1.69778,1.0734,1.44945,0.00089141,0.00089141,0.00089141
